umap1,umap2,label
8.308672904968262,6.041049003601074,3
5.838360786437988,7.756367206573486,3
5.066245079040527,3.7279701232910156,4
3.9548027515411377,4.978760719299316,4
11.312701225280762,7.916567325592041,1
3.6942875385284424,3.7789416313171387,4
4.007440090179443,5.262718200683594,4
5.638137340545654,10.665230751037598,2
3.1568005084991455,10.316950798034668,5
5.396647930145264,10.783254623413086,2
4.575545787811279,6.739724636077881,3
11.255474090576172,11.650763511657715,1
13.137892723083496,7.13368558883667,1
12.618558883666992,8.261796951293945,1
5.554238319396973,10.619881629943848,2
9.068132400512695,5.6050591468811035,3
5.650356292724609,4.720287799835205,2
7.284963607788086,8.34101676940918,6
5.308018207550049,10.904899597167969,2
8.971296310424805,10.914811134338379,2
6.093736171722412,10.634343147277832,2
7.498685836791992,8.34451961517334,6
7.556829452514648,6.8007965087890625,2
3.54156756401062,4.448294639587402,4
9.96634292602539,11.205977439880371,1
8.094383239746094,5.876287937164307,3
9.382044792175293,7.7218475341796875,1
10.070337295532227,8.052604675292969,1
9.038626670837402,10.396217346191406,2
4.084008693695068,5.2309184074401855,4
12.74099349975586,9.965921401977539,1
5.90952730178833,6.318721294403076,3
6.0838398933410645,11.189619064331055,2
3.5781397819519043,4.871452808380127,4
7.7658305168151855,11.806793212890625,2
5.03343391418457,4.765237808227539,4
8.484862327575684,8.784646987915039,3
4.300539016723633,5.80761194229126,4
13.69963264465332,7.7398200035095215,1
5.2745842933654785,3.0616533756256104,4
10.00123405456543,11.243836402893066,1
4.88599967956543,3.8014438152313232,4
3.526360273361206,4.012939453125,4
7.3938727378845215,8.210490226745605,6
5.131735324859619,6.172452449798584,3
9.751965522766113,9.969812393188477,2
7.15285587310791,6.331927299499512,2
10.854715347290039,11.083975791931152,1
7.247366905212402,11.426337242126465,2
5.420540809631348,10.760096549987793,2
3.512403964996338,4.683600425720215,4
10.682684898376465,8.385363578796387,1
9.836568832397461,8.388609886169434,1
5.804100513458252,4.642880439758301,2
7.650107383728027,7.889459133148193,6
13.188650131225586,7.752197265625,1
10.409648895263672,11.994463920593262,1
4.887203216552734,7.092771053314209,3
8.300309181213379,12.014022827148438,2
13.344212532043457,8.247814178466797,1
2.570296049118042,10.038688659667969,5
7.431845188140869,8.717394828796387,6
8.108242988586426,11.563109397888184,2
6.5226006507873535,6.838165283203125,3
3.732691764831543,4.788446426391602,4
10.441125869750977,11.195793151855469,1
8.653331756591797,11.64986515045166,2
11.619272232055664,9.923300743103027,1
