,mean,std
IGHV_%mutation,4.615181216027512,3.6008381685176887
FISH_Tri12,8.979665071770334,20.795573409276734
FISH_Del11,4.2368421052631575,16.479895400486352
CD38,22.113636363636363,28.771641155571512
CD49d,37.38421052631578,40.05716949858365
TP53,3.2256339712918667,13.629953038698291
FISH_Del17,3.909090909090909,13.518986024279352
